#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV92;sHertogenbosch;sHertogenbosch;sHertogenbosch;;sHertogenbosch;;;;;;;;;x
PROV94;Mons;Mons;Mons;;Mons;;;;;;;;;x
PROV121;Nassau;Nassau;Nassau;;Nassau;;;;;;;;;x
PROV124;Wormsgau;Wormsgau;Wormsgau;;Wormsgau;;;;;;;;;x
PROV127;Nancy;Nancy;Nancy;;Nancy;;;;;;;;;x
PROV259;Celle;Celle;Celle;;Celle;;;;;;;;;x
PROV310;Dessau;Dessau;Dessau;;Dessau;;;;;;;;;x
PROV360;Landshut;Landshut;Landshut;;Landshut;;;;;;;;;x
PROV362;Budejovice;Budejovice;Budejovice;;Budejovice;;;;;;;;;x
PROV433;Opole;Opole;Opole;;Opole;;;;;;;;;x
PROV434;Glogow;Glogow;Glogow;;Glogow;;;;;;;;;x
PROV848;Bremen;Bremen;Bremen;;Bremen;;;;;;;;;x
#COUNTY_KLEVE;Kleve;Clèves;Kleve;;Cléveris;;;;;;;;;x
PROV201;Rioja;Rioja;Rioja;Rioja;;;;;;;;;x
PROV152;Pamplona;Pamplona;Pamplona;Pamplona;;;;;;;;;x
PROV165;Arcos;Arcos;Arcos;Arcos;;;;;;;;;x
