#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
########################################;;;;;;;;;;;;;;
b_siegen_adj;Siegener;;;;;;;;;;;;;x
b_siegen;Siegen;;;;;;;;;;;;;x
b_limburg;Limburg;;;;;;;;;;;;;x
b_turnhout;Turnhout;;;;;;;;;;;;;x
b_rijsel;Rijsel;;;;;;;;;;;;;x
b_bentheim;Bentheim;;;;;;;;;;;;;x
b_andenne;Andenne;;;;;;;;;;;;;x
b_arnsberg;Arnsberg;;;;;;;;;;;;;x
b_werl;Werl;;;;;;;;;;;;;x
b_furstenau;Furstenau;;;;;;;;;;;;;x
b_iburg;Iburg;;;;;;;;;;;;;x
b_hamm;Hamm;;;;;;;;;;;;;x
b_altena;Altena;;;;;;;;;;;;;x
b_soest;Soest;;;;;;;;;;;;;x
b_doetinchem;Doetinchem;;;;;;;;;;;;;x
b_maubeuge;Maubeuge;;;;;;;;;;;;;x
b_tiel;Tiel;;;;;;;;;;;;;x
b_calenberg;Calenberg;;;;;;;;;;;;;x
b_heiligenstadt;Heiligenstadt;;;;;;;;;;;;;x
b_bremervorde;Bremervorde;;;;;;;;;;;;;x
b_otterndorf;Otterndorf;;;;;;;;;;;;;x
b_neuenkirchen;Neuenkirchen;;;;;;;;;;;;;x
b_lemgo;Lemgo;;;;;;;;;;;;;x
b_bergedorf;Bergedorf;;;;;;;;;;;;;x
b_marschacht;Marschacht;;;;;;;;;;;;;x
b_apeldoorn;Apeldoorn;;;;;;;;;;;;;x
b_harderwijk;Harderwijk;;;;;;;;;;;;;x
b_borculo;Borculo;;;;;;;;;;;;;x
b_doesburg;Doesburg;;;;;;;;;;;;;x
b_gorenlo;Groenlo;;;;;;;;;;;;;x
b_oldenzaal;Oldenzaal;;;;;;;;;;;;;x
b_oss;Oss;;;;;;;;;;;;;x
b_heerlen;Heerlen;;;;;;;;;;;;;x
b_kerkrade;Kerkrade;;;;;;;;;;;;;x
b_sittard;Sittard;;;;;;;;;;;;;x
b_dinant;Dinant;;;;;;;;;;;;;x
b_philippeville;Philippeville;;;;;;;;;;;;;x
b_auvelais;Auvelais;;;;;;;;;;;;;x
b_eghezee;Eghezee;;;;;;;;;;;;;x
b_jambes;Jambes;;;;;;;;;;;;;x
b_chiny;Chiny;;;;;;;;;;;;;x
b_ziegenhain;Ziegenhain;;;;;;;;;;;;;x
b_gersfeld;Gersfeld;;;;;;;;;;;;;x
b_hunfeld;Hunfeld;;;;;;;;;;;;;x
b_hofgeismar;Hofgeismar;;;;;;;;;;;;;x
b_vellmar;Vellmar;;;;;;;;;;;;;x
b_coburg;Coburg;;;;;;;;;;;;;x
b_kulmbach_frnk;Kulmbach;;;;;;;;;;;;;x
b_bayreuth;Bayreuth;;;;;;;;;;;;;x
b_rendsburg;Rendsburg;;;;;;;;;;;;;x
b_koslin;Koslin;;;;;;;;;;;;;x
b_prenzlau;Prenzlau;;;;;;;;;;;;;x
b_karlsbad;Karlsbad;;;;;;;;;;;;;x
b_eger_czch;Eger;;;;;;;;;;;;;x
b_sokolov;Sokolov;;;;;;;;;;;;;x
b_sedan;Sedan;;;;;;;;;;;;;x
b_köthen;Köthen;;;;;;;;;;;;;x
b_coesfeld;Coesfeld;;;;;;;;;;;;;x
b_delft;Delft;;;;;;;;;;;;;x
b_zaandam;Zaandam;;;;;;;;;;;;;x
b_groenlo;Groenlo;;;;;;;;;;;;;x
b_pithelo;Pithelo;;;;;;;;;;;;;x
b_appingedam;Appingedam;;;;;;;;;;;;;x
b_winsum;Winsum;;;;;;;;;;;;;x
b_aduard;Aduard;;;;;;;;;;;;;x
b_farmsum;Farmsum;;;;;;;;;;;;;x
b_winschoten;Winschoten;;;;;;;;;;;;;x
b_darmstadt;Darmstadt;;;;;;;;;;;;;x
b_oettingen;Oettingen;;;;;;;;;;;;;x
b_urach;Urach;;;;;;;;;;;;;x
b_eckernförde;Eckernförde;;;;;;;;;;;;;x
b_rungholt;Rungholt;;;;;;;;;;;;;x
b_husum;Husum;;;;;;;;;;;;;x
b_lauban;Lauban;;;;;;;;;;;;;x
b_putlitz;Putlitz;;;;;;;;;;;;;x
b_kyritz;Kyritz;;;;;;;;;;;;;x
b_dowaai;Dowaai;;;;;;;;;;;;;x
b_montfort;Montfort;;;;;;;;;;;;;x
b_gourdon;Gourdon;;;;;;;;;;;;;x
b_saint_gaudens;Saint Gaudens;;;;;;;;;;;;;x
b_draguignan;Draguignan;;;;;;;;;;;;;x
b_pritzwalk;Pritzwalk;;;;;;;;;;;;;x
b_allenstein;Olsztyn;;;;;;;;;;;;;x
b_rothenburg_franken;Rothenburg;;;;;;;;;;;;;x
b_windsheim;Windsheim;;;;;;;;;;;;;x
b_himmelkron;Himmelkron;;;;;;;;;;;;;x
b_thurnau;Thurnau;;;;;;;;;;;;;x
b_burgstein;Burgstein;;;;;;;;;;;;;x
b_oelsnitz;Oelsnitz;;;;;;;;;;;;;x
b_falkenstein_vogtland;Falkenstein;;;;;;;;;;;;;x
b_sonneberg;Sonneberg;;;;;;;;;;;;;x
b_eisfeld;Eisfeld;;;;;;;;;;;;;x
b_lavant;Lavant;;;;;;;;;;;;;x
b_virgen;Virgen;;;;;;;;;;;;;x
b_diyala;Diyala;;;;;;;;;;;;;x
b_potsdam;Potsdam;;;;;;;;;;;;;x
b_wittenberg;Wittenberg;;;;;;;;;;;;;x
b_konz;Konz;;;;;;;;;;;;;x
b_schweich;Schweich;;;;;;;;;;;;;x
b_najera;Najera;;;;;;;;;;;;;x
b_logrono;Logroño;;;;;;;;;;;;;x
b_arnedo;Arnedo;;;;;;;;;;;;;x
b_sanmillan;San Millan;;;;;;;;;;;;;x
b_calahorra;Calahorra;;;;;;;;;;;;;x
b_alfara;Alfara;;;;;;;;;;;;;x
b_pamplona;Pamplona;;;;;;;;;;;;;x
b_noain;Noain;;;;;;;;;;;;;x
b_santamariadeyarte;Santa Maria de Yarte;;;;;;;;;;;;;x
b_huarte;Huarte;;;;;;;;;;;;;x
b_monreal_spain;Monreal;;;;;;;;;;;;;x
b_amaiur;Amaiur;;;;;;;;;;;;;x
b_tudela;Tudela;;;;;;;;;;;;;x
b_cintruenigo;Citruenigo;;;;;;;;;;;;;x
b_bunuel;Bunuel;;;;;;;;;;;;;x
b_tudilen;Tudilen;;;;;;;;;;;;;x
b_ablitas;Ablitas;;;;;;;;;;;;;x
b_saintjean;Saint Jean;;;;;;;;;;;;;x
b_osses;Osses;;;;;;;;;;;;;x
b_saintpalais;Saint Palais;;;;;;;;;;;;;x
b_estella;Estella;;;;;;;;;;;;;x
b_viana;Viana;;;;;;;;;;;;;x
b_irache;Irache;;;;;;;;;;;;;x
b_santaolalla;Santa Olalla;;;;;;;;;;;;;x
b_losarcos;Los Arcos;;;;;;;;;;;;;x
b_falces;Falces;;;;;;;;;;;;;x
b_olite;Olite;;;;;;;;;;;;;x
b_roncesvalles;Roncesvalles;;;;;;;;;;;;;x
b_tafalla;Tafalla;;;;;;;;;;;;;x
b_sanguesa;Sanguesa;;;;;;;;;;;;;x
b_ujue;Ujue;;;;;;;;;;;;;x
b_pisuerga;Pisuerga;;;;;;;;;;;;;x
b_castronegro;Castronegro;;;;;;;;;;;;;x
b_bermeo;Bermeo;;;;;;;;;;;;;x
b_bilbao;Bilbao;;;;;;;;;;;;;x
b_guernica;Guernica;;;;;;;;;;;;;x
b_sansebastian;San Sebastian;;;;;;;;;;;;;x
b_irun;Irun;;;;;;;;;;;;;x
b_onate;Onate;;;;;;;;;;;;;x
b_oiarso;Oiarso;;;;;;;;;;;;;x
b_tolosa;Tolosa;;;;;;;;;;;;;x
b_hagurahin;Hagurahin;;;;;;;;;;;;;x
b_guerniq;Guerniq;;;;;;;;;;;;;x
b_vitoria;Vitoria;;;;;;;;;;;;;x
b_treviño;Treviño;;;;;;;;;;;;;x
b_hormuz;Hormuz;;;;;;;;;;;;;x
b_germersheim;Germersheim;;;;;;;;;;;;;x
b_landau_pfalz;Landau;;;;;;;;;;;;;x
b_weinheim;Weinheim;;;;;;;;;;;;;x
b_neckargmund;Neckargmünd;;;;;;;;;;;;;x
b_albaidadelaljerafe;Albaida;;;;;;;;;;;;;x
b_seville;Seville;;;;;;;;;;;;;x
b_sanlucarlemayor;Sanlúcar;;;;;;;;;;;;;x
b_santiponce;Santiponce;;;;;;;;;;;;;x
b_laalgaba;La Algaba;;;;;;;;;;;;;x
b_tomares;Tomares;;;;;;;;;;;;;x
b_galaroza;Galaroza;;;;;;;;;;;;;x
b_aracena;Aracena;;;;;;;;;;;;;x
b_almonasterlareal;Almonaster;;;;;;;;;;;;;x
b_cortegana;Cortegana;;;;;;;;;;;;;x
b_niebla;Niebla;;;;;;;;;;;;;x
b_pilas;Pilas;;;;;;;;;;;;;x
b_rocianadelcondado;Rociana;;;;;;;;;;;;;x
b_bonares;Bonares;;;;;;;;;;;;;x
b_gibraleon;Gibraleón;;;;;;;;;;;;;x
b_huelva;Huelva;;;;;;;;;;;;;x
b_lepe;Lepe;;;;;;;;;;;;;x
b_ayamonte;Ayamonte;;;;;;;;;;;;;x
b_tejada;Tejada;;;;;;;;;;;;;x
b_paternadelcampo;Paterna;;;;;;;;;;;;;x
b_aznalcollar;Aznalcóllar;;;;;;;;;;;;;x
b_almonte;Almonte;;;;;;;;;;;;;x
b_elrocio;Las Rocinas;;;;;;;;;;;;;x
b_moguer;Moguer;;;;;;;;;;;;;x
b_silves:Silves;;;;;;;;;;;;;x
b_lagos;Lagos;;;;;;;;;;;;;x
b_portimao;Portimão;;;;;;;;;;;;;x
b_alvor;Alvor;;;;;;;;;;;;;x
b_aljezur;Aljezur;;;;;;;;;;;;;x
b_albufeira;Albuferia;;;;;;;;;;;;;x
b_faro;Faro;;;;;;;;;;;;;x
b_loule;Loulé;;;;;;;;;;;;;x
b_almancil;Almancil;;;;;;;;;;;;;x
b_castromarim;Castro Marim;;;;;;;;;;;;;x
b_tavira;Tavira;;;;;;;;;;;;;x
b_alcoutim;Alcoutim;;;;;;;;;;;;;x
b_chateau-landon;;;;;;;;;;;;;x
b_chatenoy;;;;;;;;;;;;;x
