#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV2015;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2016;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2017;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2018;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2019;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2020;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2021;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2022;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2023;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2024;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2025;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2026;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2027;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2028;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2029;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2030;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2031;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2032;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2033;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2034;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2035;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2036;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2037;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2038;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2039;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2040;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2041;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2042;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2043;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2044;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2045;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2046;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2047;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2048;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2049;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2050;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2051;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2052;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2053;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2054;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2055;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2056;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2057;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2058;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2059;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2060;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2061;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2062;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2063;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2064;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2065;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2066;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2067;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2068;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2069;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2070;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2071;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2072;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2073;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2074;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2075;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2076;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2077;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2078;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2079;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2080;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2081;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2082;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2083;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2084;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2085;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2086;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2087;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2088;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2089;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2090;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2091;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2092;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2093;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2094;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2095;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2096;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2097;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2098;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2099;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2100;Alava;Alava;Alava;;Alava;;;;;;;;;x
PROV2101;Guipuzcoa;Guipuzcoa;Guipuzcoa;;Guipuzcoa;;;;;;;;;x
PROV2102;Tudela;Tudela;Tudela;;Tudela;;;;;;;;;x
PROV2103;Lower Navarre;Lower Navarre;Lower Navarre;;Lower Navarre;;;;;;;;;x
PROV2104;Estella;Estella;Estella;;Estella;;;;;;;;;x
PROV2105;Olite;Olite;Olite;;Olite;;;;;;;;;x
PROV2106;;;;;;;;;;;;;;x
PROV2107;;;;;;;;;;;;;;x
PROV2108;;;;;;;;;;;;;;x
PROV2109;;;;;;;;;;;;;;x
PROV2110;;;;;;;;;;;;;;x
PROV2111;;;;;;;;;;;;;;x
PROV2112;;;;;;;;;;;;;;x
PROV2113;;;;;;;;;;;;;;x
PROV2114;;;;;;;;;;;;;;x
PROV2115;;;;;;;;;;;;;;x
PROV2116;;;;;;;;;;;;;;x
PROV2117;;;;;;;;;;;;;;x
PROV2118;;;;;;;;;;;;;;x
PROV2119;;;;;;;;;;;;;;x
PROV2120;;;;;;;;;;;;;;x
PROV2121;;;;;;;;;;;;;;x
PROV2122;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2123;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2124;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2125;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2126;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2127;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2128;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2129;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2130;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2131;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2132;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2133;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2134;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2135;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2136;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2137;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2138;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2139;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2140;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2141;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2142;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2143;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2144;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2145;Unused;Unused;Unused;;Unused;;;;;;;;;x
PROV2146;Unused;Unused;Unused;;Unused;;;;;;;;;x
