#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Baltics;;;;;;;;;;;;;;
c_deltuva_adj;Deltuvian;;;;;;;;;;;;;x
c_jeriska_adj;Jeriskaian;;;;;;;;;;;;;x
c_zemgalians_adj;Zemgalia;;;;;;;;;;;;;x
c_jarva_adj;Järvia;;;;;;;;;;;;;x
c_selija_adj;Selija;;;;;;;;;;;;;x
c_metsepole_adj;Metsepole;;;;;;;;;;;;;x
c_laanemaa_adj;Laanemaai;;;;;;;;;;;;;x
c_atzele_adj;Atzelei;;;;;;;;;;;;;x
c_trakai_adj;Trakai;;;;;;;;;;;;;x
c_lida_adj;Lyda;;;;;;;;;;;;;x
c_sudovia_adj;Sudovia;;;;;;;;;;;;;x
c_yatvyagi_adj;Dainava;;;;;;;;;;;;;x
c_asmena_adj;Ašmena;;;;;;;;;;;;;x
c_upyte_adj;Upytian;;;;;;;;;;;;;x
c_nalshia_adj;Nalsian;;;;;;;;;;;;;x
c_bandava_adj;Bandavaish;Bandava;Bandava;;Bandava;;;;;;;;;x
c_duvzare_adj;Duvzarish;Duvzare;Duvzare;;Duvzare;;;;;;;;;x
c_vaiga_adj;Vaigan;Vaiga;Vaiga;;Vaiga;;;;;;;;;x
c_toreida_adj;Toreidan;Toreida;Toreida;;Toreida;;;;;;;;;x
#Denmark;;;;;;;;;;;;;;
c_skane_adj;Væstær Skanskr;;;;;;;;;;;;;x
c_northern_skane_adj;Nørræ Skanskr;;;;;;;;;;;;;x
c_eastern_skane_adj;Østær Skanskr;;;;;;;;;;;;;x
c_blekinge_adj;Blekynghr;;;;;;;;;;;;;x
c_sjaelland_adj;Nørræ Syalandr;;;;;;;;;;;;;x
c_western_sjaelland_adj;Wæstær Syalandr;;;;;;;;;;;;;x
c_southern_sjaelland_adj;Syndræ Syalandr;;;;;;;;;;;;;x
c_lolland_adj;Lalandr;;;;;;;;;;;;;x
c_fyn_adj;Fyunr;;;;;;;;;;;;;x
c_northern_halland_adj;Nørræ Hallandr;;;;;;;;;;;;;x
c_halland_adj;Syndræ Hallandr;;;;;;;;;;;;;x
c_jylland_adj;Abosysælr;;;;;;;;;;;;;x
c_central_jylland_adj;Warwithsysælr;;;;;;;;;;;;;x
c_northeastern_jylland_adj;Himbræsysælr;;;;;;;;;;;;;x
c_northern_jylland_adj;Wændlesysælr;;;;;;;;;;;;;x
c_western_jylland_adj;Harthæsysælr;;;;;;;;;;;;;x
c_samsoe_adj;Samsør;;;;;;;;;;;;;x
c_slesvig_adj;Istathesysælr;;;;;;;;;;;;;x
c_southern_jylland_adj;Ellæmsysælr;;;;;;;;;;;;;x
c_north_frisia_adj;Utlandr;;;;;;;;;;;;;x
c_bornholm_adj;Burghændæholmr;;;;;;;;;;;;;x
###########################################
#HRE;;;;;;;;;;;;;;
###########################################
######Frisia
#Holland
c_holland_adj;Holland;;;;;;;;;;;;;x
c_zeeland_adj;Zeeland;;;;;;;;;;;;;x
c_sticht_adj;Sticht;;;;;;;;;;;;;x
#Frisia
c_frisia_adj;Frisia;;;;;;;;;;;;;x
c_westfriesland_adj;Westfriesland;;;;;;;;;;;;;x
c_ostfriesland_adj;Ostfriesland;;;;;;;;;;;;;x
#Gelre
c_gelre_adj;Opper-Gelre;;;;;;;;;;;;;x
c_hamaland_adj;Hamaland;;;;;;;;;;;;;x
c_zutphen_adj;Zutphen;;;;;;;;;;;;;x
c_oversticht_adj;Oversticht;;;;;;;;;;;;;x
######Lower Lorraine
#Brabant;;;;;;;;;;;;
c_brabant_adj;Leuven;;;;;;;;;;;;;x
c_brussel_adj;Brüssel;;;;;;;;;;;;;x
c_breda_adj;Breda;;;;;;;;;;;;;x
c_loon_adj;Loon;;;;;;;;;;;;;x
c_aalst_adj;Aalst;;;;;;;;;;;;;x
#Hainaut;;;;;;;;;;;;
c_hainaut_adj;Mons;;;;;;;;;;;;;x
c_valenciennes_adj;Valenciennes;;;;;;;;;;;;;x
c_cambrai_adj;Cambrai;;;;;;;;;;;;;x
#Limburg;;;;;;;;;;;;
c_limburg_adj;Limburg;;;;;;;;;;;;;x
c_liege_adj;Liege;;;;;;;;;;;;;x
c_namur_adj;Namur;;;;;;;;;;;;;x
c_salm_adj;Salm;;;;;;;;;;;;;x
#Jülich;;;;;;;;;;;;
c_julich_adj;Jülich;;;;;;;;;;;;;x
c_kleve_adj;Kleve;;;;;;;;;;;;;x
c_berg_adj;Berg;;;;;;;;;;;;;x
c_aachen_adj;Aachen;;;;;;;;;;;;;x
#Köln;;;;;;;;;;;;
c_koln_adj;Köln;;;;;;;;;;;;;x
######Upper Lorraine
#Lotharingen;;;;;;;;;;;;
c_blamont_adj;Blâmont;;;;;;;;;;;;;x
c_vaudemont_adj;Vaudémont;;;;;;;;;;;;;x
c_metz_adj;Metz;;;;;;;;;;;;;x
c_saarbrucken_adj;Saarbrücken;;;;;;;;;;;;;x
c_dagsburg_adj;Dagsburg;;;;;;;;;;;;;x
#Bar;;;;;;;;;;;;
c_bar_adj;Bar;;;;;;;;;;;
c_pontamousson_adj;Pont-à-Mousson;;;;;;;;;;;
c_verdun_adj;Verdun;;;;;;;;;;;
c_chiny_adj;Chiny;;;;;;;;;;;
#Luxembourg;;;;;;;;;;;;
c_luxembourg_adj;Luxembourg;;;;;;;;;;;
c_vianden_adj;Vianden;;;;;;;;;;;
c_arlon_adj;Arlon;;;;;;;;;;;
c_laroche_adj;La Roche;;;;;;;;;;;;;x
#Trier;;;;;;;;;;;;
c_trier_adj;Trier;;;;;;;;;;;;;x
######Swabia
#Burgau
c_schelklingen_adj;Schelklingen;;;;;;;;;;;;;x
c_waldburg_adj;Waldburg;;;;;;;;;;;;;x
c_augsburg_adj;;;;;;;;;;;;;x
#Teck
c_teck_adj;Teck;;;;;;;;;;;;;x
c_helfenstein_adj;Helfenstein;;;;;;;;;;;;;x
c_nellenburg_adj;Nellenburg;;;;;;;;;;;;;x
c_zollern_adj;Zollern;;;;;;;;;;;;;x
#Tübingen
c_staufen_adj;Staufen;;;;;;;;;;;;;x
c_wurttemberg_adj;Württemberg;;;;;;;;;;;;;x
c_calw_adj;Calw;;;;;;;;;;;;;x
c_oettingen_adj;Öttingen;;;;;;;;;;;;;x
#Baden
c_baden_adj;Baden;;;;;;;;;;;;;x
c_breisgau_adj;Breisgau;;;;;;;;;;;;;x
c_furstenberg_adj;Fürstenberg;;;;;;;;;;;;;x
#Elass
c_nordgau_adj;Nordgau;;;;;;;;;;;;;x
c_sundgau_adj;Sundgau;;;;;;;;;;;;;x
#Rätien
c_thurgau_adj;Thurgau;;;;;;;;;;;;;x
c_aargau_adj;Aargau;;;;;;;;;;;;;x
c_schwyz_adj;Schwyz;;;;;;;;;;;;;x
c_chur_adj;Churx;;;;;;;;;;;;;x
c_montfort_adj;Montfort;;;;;;;;;;;;;x
######Bavaria
#Österreich;;;;;;;;;;;;
c_osterreich_adj;Österreich;;;;;;;;;;;;;x
c_traungau_adj;Traungau;;;;;;;;;;;;;x
c_kuenring_adj;Kuenring;;;;;;;;;;;;;x
c_schaunberg_adj;Schaunberg;;;;;;;;;;;;;x
#Niederbayern;;;;;;;;;;;;
c_niederbayern_adj;Bogen;;;;;;;;;;;;;x
c_passau_adj;Passau;;;;;;;;;;;;;x
c_ortenberg_adj;Ortenberg;;;;;;;;;;;;;x
c_abensberg_adj;Abensberg;;;;;;;;;;;;;x
#Oberbayern;;;;;;;;;;;;
c_oberbayern_adj;Scheyern;;;;;;;;;;;;;x
c_andechs_adj;Andechs;;;;;;;;;;;;;x
c_kraiburg_adj;Kraiburg;;;;;;;;;;;;;x
#Nordgau;;;;;;;;;;;;
c_sulzbach_adj;Sulzbach;;;;;;;;;;;;;x
c_hirschberg_adj;Hirschberg;;;;;;;;;;;;;x
c_leuchtenberg_adj;Leuchtenberg;;;;;;;;;;;;;x
#Tirol;;;;;;;;;;;;
